station_id,city,timezone,years_covered,warm_peak_hour_median,warm_peak_hour_p75,late_peak_share,very_late_peak_share,daily_range_median_c,daily_range_p90_c,morning_warmup_median_c,noon_warmup_median_c,late_ramp_median_c,hot_day_dewpoint_median_c,morning_low_ceiling_share,midday_low_ceiling_share,afternoon_low_ceiling_share,reduced_visibility_share,light_wind_share,precip_day_share,cloud_break_day_share,rain_reset_day_share,humid_sticky_day_share,dry_mixing_day_share,clean_solar_ramp_day_share,wind_shift_day_share,dominant_wind_regimes,special_features
CYYZ,Toronto,America/Toronto,2022-2025,16.0,17.0,0.6666666666666666,0.47096774193548385,8.0,12.5,2.8499999999999996,2.0,0.3500000000000001,17.0,0.23152337858220212,0.2549019607843137,0.2631975867269985,0.21116138763197587,0.25037707390648567,0.2368024132730015,0.03469079939668175,0.10633484162895927,0.042986425339366516,0.12141779788838612,0.23529411764705882,0.31221719457013575,"N:20%, W:20%, SE:14%",late-day surge risk; midday cloud suppression risk; frequent visibility restrictions; frequent precip resets; wind-shift sensitive
EDDM,Munich,Europe/Berlin,2022-2025,17.333333333333332,18.333333333333332,0.7741935483870968,0.5907258064516129,10.0,18.0,3.5,2.5,0.5,14.5,0.4409984871406959,0.4962178517397882,0.4735249621785174,0.26550680786686837,0.2503782148260212,0.0,0.0007564296520423601,0.0,0.00680786686838124,0.0,0.0022692889561270802,0.29954614220877457,"W:42%, E:24%, NE:13%",late-day surge risk; midday cloud suppression risk; frequent visibility restrictions; wind-shift sensitive
EGLC,London,Europe/London,2022-2025,16.333333333333332,17.333333333333332,0.618,0.358,6.0,11.0,2.5,2.0,0.0,12.5,0.35806207418622255,0.36866010598031795,0.3285389856169568,0.21801665404996215,0.2626797880393641,0.0,0.059046177138531414,0.0,0.000757002271006813,0.12263436790310371,0.14383043149129449,0.2619227857683573,"SW:34%, E:21%, W:18%",late-day surge risk; muted diurnal range; midday cloud suppression risk; frequent visibility restrictions; wind-shift sensitive
KATL,Atlanta,America/New_York,2022-2025,16.866666666666667,17.866666666666667,0.6419491525423728,0.4555084745762712,10.0,14.399999999999999,4.15,3.299999999999997,0.8000000000000007,20.125,0.29760119940029983,0.27211394302848574,0.21739130434782608,0.21139430284857572,0.25037481259370314,0.4295352323838081,0.03973013493253373,0.27961019490254874,0.18065967016491755,0.15967016491754124,0.36806596701649175,0.2983508245877061,"NW:25%, E:24%, W:17%",late-day surge risk; humid-heat persistence; midday cloud suppression risk; frequent visibility restrictions; frequent precip resets; wind-shift sensitive
KDAL,Dallas,America/Chicago,2022-2025,16.883333333333333,17.883333333333333,0.7615062761506276,0.39330543933054396,10.000000000000002,15.0,4.399999999999999,3.3000000000000007,0.8499999999999979,18.9,0.2808988764044944,0.2554307116104869,0.2149812734082397,0.14756554307116104,0.26666666666666666,0.2853932584269663,0.03445692883895131,0.15880149812734082,0.17827715355805243,0.12734082397003746,0.45393258426966293,0.3086142322097378,"S:40%, SE:16%, N:16%",late-day surge risk; humid-heat persistence; midday cloud suppression risk; frequent visibility restrictions; frequent precip resets; wind-shift sensitive
KLGA,New York,America/New_York,2022-2025,15.85,17.0,0.3699186991869919,0.35772357723577236,7.199999999999996,10.6,2.25,2.1999999999999993,0.0,17.075000000000003,0.2591760299625468,0.2801498127340824,0.2689138576779026,0.20524344569288389,0.13782771535580524,0.47340823970037454,0.02846441947565543,0.2524344569288389,0.04868913857677903,0.11760299625468165,0.2104868913857678,0.26741573033707866,"NW:24%, NE:23%, S:22%",late-day surge risk; midday cloud suppression risk; frequent visibility restrictions; frequent precip resets; wind-shift sensitive
KMIA,Miami,America/New_York,2022-2025,14.883333333333333,15.883333333333333,0.12547528517110265,0.12167300380228137,6.600000000000001,9.400000000000002,3.299999999999997,1.1000000000000014,-0.5999999999999979,23.9,0.1206896551724138,0.27436281859070466,0.2158920539730135,0.08320839580209895,0.25112443778110943,0.5082458770614693,0.023238380809595203,0.2623688155922039,0.16266866566716642,0.07721139430284858,0.06296851574212893,0.3103448275862069,"E:32%, SE:26%, NE:11%",muted diurnal range; humid-heat persistence; midday cloud suppression risk; frequent visibility restrictions; frequent precip resets; wind-shift sensitive
KORD,Chicago,America/Chicago,2022-2025,15.85,16.85,0.4564755838641189,0.12101910828025478,8.899999999999999,13.9,3.6000000000000014,1.8999999999999986,0.0,17.8,0.2595648912228057,0.24981245311327832,0.24306076519129782,0.231807951987997,0.20555138784696175,0.45386346586646664,0.024756189047261814,0.25881470367591897,0.05101275318829707,0.13203300825206302,0.20330082520630158,0.30682670667666917,"W:18%, S:18%, SW:16%",late-day surge risk; midday cloud suppression risk; frequent visibility restrictions; frequent precip resets; wind-shift sensitive
KSEA,Seattle,America/Los_Angeles,2022-2025,17.0,17.883333333333333,0.7687366167023555,0.7623126338329764,7.2,13.3,2.200000000000001,2.5499999999999994,0.5,11.1,0.40973782771535583,0.3138576779026217,0.26741573033707866,0.250187265917603,0.2539325842696629,0.4861423220973783,0.06292134831460675,0.33707865168539325,0.000749063670411985,0.18801498127340824,0.2194756554307116,0.352059925093633,"S:31%, N:24%, SW:19%",late-day surge risk; midday cloud suppression risk; frequent visibility restrictions; frequent precip resets; dry-mixing upside; wind-shift sensitive
LFPG,Paris,Europe/Paris,2022-2025,18.0,18.5,0.8724279835390947,0.7592592592592593,8.0,13.100000000000001,2.0,3.0,1.0,13.1,0.3012869038607116,0.2906888720666162,0.25965177895533686,0.25359576078728235,0.24299772899318697,0.27706283118849356,0.0174110522331567,0.18319454958364875,0.004542013626040878,0.1271763815291446,0.15821347464042393,0.2808478425435276,"N:20%, SW:17%, S:15%",late-day surge risk; midday cloud suppression risk; frequent visibility restrictions; frequent precip resets; wind-shift sensitive
LLBG,Tel Aviv,Asia/Jerusalem,2022-2025,14,15,0.047404063205,0.006772009029,10,15.1,5.6,2.4,-0.5,21.4,0.205137939762,0.125411288281,0.113394216134,0.043051359517,0.57509691017,0.184290030211,0.01586102719,0.184290030211,0.002265861027,0.129909365559,0.116314199396,0.280966767372,"NW:19%, W:16%, SE:14%",humid-heat persistence; frequent precip resets; wind-shift sensitive
LTAC,Ankara,Europe/Istanbul,2022-2025,16.833333333333332,17.833333333333332,0.702928870292887,0.4351464435146444,13.1,19.0,5.5,3.5,0.6999999999999993,7.5,0.1801665404996215,0.22785768357305072,0.24905374716124148,0.18849356548069643,0.2505677517032551,0.18243754731264195,0.014383043149129448,0.13171839515518546,0.0,0.15594246782740348,0.4610143830431491,0.2687358062074186,"NE:33%, N:21%, SW:17%",late-day surge risk; large diurnal swing; midday cloud suppression risk; frequent visibility restrictions; frequent precip resets; wind-shift sensitive
NZWN,Wellington,Pacific/Auckland,2022-2025,15.5,17.0,0.4799154334038055,0.27061310782241016,5.0,9.0,1.5,1.0,0.0,14.5,0.4155354449472097,0.34464555052790347,0.31598793363499245,0.22926093514328807,0.12594268476621417,0.0,0.03469079939668175,0.0,0.00904977375565611,0.06184012066365008,0.0784313725490196,0.2526395173453997,"N:57%, S:33%, SE:4%",late-day surge risk; muted diurnal range; midday cloud suppression risk; frequent visibility restrictions; wind-shift sensitive
RJTT,Tokyo,Asia/Tokyo,2022-2025,13.2,14.2,0.047619047619,0.006802721088,6,9,2.2,1.3,-0.5,24.8,0.489516527984,0.420686104487,0.423557217359,0.161387631976,0.138761559192,0.396681749623,0.00754147813,0.398190045249,0.216440422323,0.005279034691,0.003016591252,0.422322775264,"S:27%, N:25%, NE:13%",muted diurnal range; humid-heat persistence; midday cloud suppression risk; frequent visibility restrictions; frequent precip resets; wind-shift sensitive
RKSI,Seoul,Asia/Seoul,2022-2025,15.25,16.125,0.3641732283464567,0.17519685039370078,7.0,11.0,3.0,2.0,-0.5,23.5,0.2709433962264151,0.22943396226415094,0.21660377358490565,0.2618867924528302,0.2550943396226415,0.0,0.024150943396226414,0.0,0.21283018867924527,0.03471698113207547,0.014339622641509434,0.2558490566037736,"W:21%, NE:21%, NW:19%",late-day surge risk; muted diurnal range; humid-heat persistence; midday cloud suppression risk; frequent visibility restrictions; wind-shift sensitive
SAEZ,Buenos Aires,America/Argentina/Buenos_Aires,2022-2025,16.0,17.0,0.6666666666666666,0.3780487804878049,11.2,16.62000000000003,4.0,3.5999999999999996,0.9000000000000012,14.649999999999999,0.2550943396226415,0.24301886792452831,0.22867924528301886,0.25207547169811323,0.25056603773584907,0.12754716981132075,0.02490566037735849,0.09811320754716982,0.07622641509433963,0.1109433962264151,0.26943396226415095,0.2792452830188679,"E:23%, S:16%, NE:15%",late-day surge risk; large diurnal swing; midday cloud suppression risk; frequent visibility restrictions; frequent precip resets; wind-shift sensitive
SBGR,Sao Paulo,America/Sao_Paulo,2022-2025,15.0,16.0,0.32332155477031804,0.06007067137809187,10.0,15.0,4.0,3.0,0.0,17.0,0.5484848484848485,0.4871212121212121,0.4318181818181818,0.2628787878787879,0.25075757575757573,0.0,0.02196969696969697,0.0,0.18484848484848485,0.02727272727272727,0.006060606060606061,0.30833333333333335,"E:55%, SE:15%, S:12%",late-day surge risk; midday cloud suppression risk; frequent visibility restrictions; wind-shift sensitive
VHHH,Hong Kong,Asia/Hong_Kong,2022-2025,14.1,15.1,0.11704312115,0.032854209446,5,7,1.7,1.2,-0.1,24.3,0.472640050614,0.473826445782,0.389246590744,0.202865761689,0.170075675241,0.411764705882,0.001508295626,0.413273001508,0.312971342383,0,0.000754147813,0.547511312217,"E:36%, N:15%, NE:11%",muted diurnal range; humid-heat persistence; midday cloud suppression risk; frequent visibility restrictions; frequent precip resets; wind-shift sensitive
VILK,Lucknow,Asia/Kolkata,2022-2025,14.5,14.5,0.1694560669456067,0.0899581589958159,11.2,16.0,5.0,3.0,0.0,17.5,0.10075757575757575,0.25,0.25681818181818183,0.990909090909091,0.2515151515151515,0.2515151515151515,0.025757575757575757,0.15303030303030302,0.27121212121212124,0.14545454545454545,0.0,0.26666666666666666,"W:33%, E:31%, NW:21%",large diurnal swing; midday cloud suppression risk; frequent visibility restrictions; frequent precip resets; wind-shift sensitive
WSSS,Singapore,Asia/Singapore,2022-2025,14,15,0.081916537867,0.012364760433,6,8,2.4,1.5,-0.2,24.2,0.399929363373,0.420866960518,0.415617496815,0.328054298643,0.416062650261,0.556561085973,0,0.556561085973,0.661387631976,0,0,0.861990950226,"N:29%, S:21%, NW:12%",muted diurnal range; humid-heat persistence; midday cloud suppression risk; frequent visibility restrictions; frequent precip resets; wind-shift sensitive
ZSPD,Shanghai,Asia/Shanghai,2022-2025,13.2,14,0.019396551724,0.008620689655,7,12,2.7,1,-1,25.4,0.265846351716,0.274366403119,0.234238600672,0.279788838612,0.150465686417,0.32730015083,0.001508295626,0.335595776772,0.204374057315,0.050527903469,0.015837104072,0.343137254902,"N:20%, S:18%, SE:17%",humid-heat persistence; midday cloud suppression risk; frequent visibility restrictions; frequent precip resets; wind-shift sensitive
